City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,kudahuvadhoo,2.6708,72.8944,301.3,78,99,8.24,MV,1683313694
332,greymouth,-42.4667,171.2,286.47,94,70,1.83,NZ,1683313694
333,el bauga,18.262,33.9081,306.21,6,16,4.89,SD,1683313694
334,san luis de la loma,17.2706,-100.8939,305.75,53,100,4.33,MX,1683313694
335,piacabucu,-10.4056,-36.4344,300.68,77,8,3.46,BR,1683313695
336,axum,14.1245,38.7244,298.06,29,100,1.39,ET,1683313695
337,san agustin de valle fertil,-30.6335,-67.4682,293.74,28,0,2.51,AR,1683313695
338,thatta,24.7475,67.9235,300.58,66,0,5.7,PK,1683313695
339,brindisi,40.5833,17.6667,291.91,78,18,5.23,IT,1683313696
340,castillos,-34.1667,-53.8333,291.8,75,100,5.97,UY,1683313696
341,taulaga,-11.0553,-171.0883,301.84,76,67,6.54,AS,1683313696
342,colonelganj,27.1333,81.7,301.48,41,0,3.02,IN,1683313697
343,nuku'alofa,-21.1333,-175.2,298.34,83,20,6.69,TO,1683313697
344,vung tau,10.346,107.0843,301.96,75,40,4.27,VN,1683313697
345,altai,46.3722,96.2583,273.39,55,100,1.57,MN,1683313697
346,mata-utu,-13.2816,-176.1745,301.59,74,10,4.25,WF,1683313698
347,minot air force base,48.4209,-101.3391,292.25,40,75,7.72,US,1683313698
348,broome,42.2506,-75.833,288.71,61,75,2.57,US,1683313698
349,carauari,-4.8828,-66.8958,302.86,75,43,1.63,BR,1683313699
350,celestun,20.8667,-90.4,304.98,55,92,4.79,MX,1683313699
351,kupang,-10.1667,123.5833,298.42,80,100,4.67,ID,1683313699
352,bandar abbas,27.1865,56.2808,300.14,83,0,3.09,IR,1683313699
353,huilong,31.8111,121.655,289.14,93,100,3.99,CN,1683313700
354,pitimbu,-7.4706,-34.8086,302.48,78,3,5.02,BR,1683313700
355,solleftea,63.1667,17.2667,275.36,67,62,2.4,SE,1683313700
356,bengkulu,-3.8004,102.2655,298.06,91,100,1.6,ID,1683313700
357,gamba,-2.65,10.0,298.47,89,100,2.29,GA,1683313701
358,dapa,9.7594,126.0531,300.41,76,72,2.05,PH,1683313701
359,balzar,-1.3667,-79.9,304.06,70,84,0.89,EC,1683313701
360,basoko,1.2391,23.616,296.18,91,100,1.27,CD,1683313702
361,yung shue wan,22.2333,114.1167,300.83,84,14,4.91,HK,1683313702
